Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,omega,Rel_TimeStep
,,,,,,,,309,10178.0,2907.0,1388.0,11.030219780219781,1
,,,,,,,,310,9627.0,2749.0,1312.0,11.030219780219781,1
,,,,,,,,311,8895.0,2540.0,1212.0,11.030219780219781,1
,,,,,,,,312,8162.0,2331.0,1113.0,11.030219780219781,1
,,,,,,,,313,7613.0,2174.0,1038.0,11.030219780219781,1
,,,,,,,,314,7306.0,2086.0,996.0,11.030219780219781,1
,,,,,,,,315,7122.0,2034.0,971.0,11.030219780219781,1
,,,,,,,,316,7055.0,2015.0,962.0,11.030219780219781,1
,,,,,,,,317,7132.0,2037.0,972.0,11.030219780219781,1
,,,,,,,,318,7415.0,2118.0,1011.0,11.030219780219781,1
,,,,,,,,319,7941.0,2268.0,1083.0,11.030219780219781,1
,,,,,,,,320,8520.0,2433.0,1161.0,11.030219780219781,1
,,,,,,,,321,9199.0,2627.0,1254.0,11.030219780219781,1
,,,,,,,,322,9723.0,2777.0,1326.0,11.030219780219781,1
,,,,,,,,323,9970.0,2848.0,1359.0,11.030219780219781,1
,,,,,,,,324,10006.0,2858.0,1364.0,11.030219780219781,1
,,,,,,,,325,9914.0,2831.0,1352.0,11.030219780219781,1
,,,,,,,,326,9771.0,2790.0,1332.0,11.030219780219781,1
,,,,,,,,327,9628.0,2749.0,1312.0,11.030219780219781,1
,,,,,,,,328,9559.0,2730.0,1303.0,11.030219780219781,1
,,,,,,,,329,9852.0,2814.0,1343.0,11.030219780219781,1
,,,,,,,,330,10586.0,3023.0,1444.0,11.030219780219781,1
,,,,,,,,331,10731.0,3065.0,1463.0,11.030219780219781,1
,,,,,,,,332,10422.0,2976.0,1421.0,11.030219780219781,1
,,,,,,,,333,10081.0,2880.0,1374.0,11.030219780219781,1
,,,,,,,,334,9629.0,2750.0,1312.0,11.030219780219781,1
,,,,,,,,335,9059.0,2587.0,1235.0,11.030219780219781,1
,,,,,,,,336,8468.0,2419.0,1155.0,11.030219780219781,1
,,,,,,,,337,6608.0,1888.0,901.0,6.016483516483516,1
,,,,,,,,338,6319.0,1804.0,861.0,6.016483516483516,1
,,,,,,,,339,6171.0,1763.0,841.0,6.016483516483516,1
,,,,,,,,340,6140.0,1753.0,837.0,6.016483516483516,1
,,,,,,,,341,6304.0,1800.0,859.0,6.016483516483516,1
,,,,,,,,342,6864.0,1960.0,936.0,6.016483516483516,1
,,,,,,,,343,7669.0,2190.0,1045.0,6.016483516483516,1
,,,,,,,,344,8552.0,2442.0,1166.0,6.016483516483516,1
,,,,,,,,345,9208.0,2629.0,1255.0,6.016483516483516,1
,,,,,,,,346,9678.0,2764.0,1319.0,6.016483516483516,1
,,,,,,,,347,10054.0,2871.0,1371.0,6.016483516483516,1
,,,,,,,,348,10306.0,2943.0,1405.0,6.016483516483516,1
,,,,,,,,349,10463.0,2988.0,1427.0,6.016483516483516,1
,,,,,,,,350,10571.0,3019.0,1441.0,6.016483516483516,1
,,,,,,,,351,10601.0,3028.0,1445.0,6.016483516483516,1
,,,,,,,,352,10595.0,3025.0,1444.0,6.016483516483516,1
,,,,,,,,353,10578.0,3021.0,1442.0,6.016483516483516,1
,,,,,,,,354,10493.0,2996.0,1430.0,6.016483516483516,1
,,,,,,,,355,10297.0,2940.0,1403.0,6.016483516483516,1
,,,,,,,,356,10362.0,2960.0,1413.0,6.016483516483516,1
,,,,,,,,357,10475.0,2991.0,1428.0,6.016483516483516,1
,,,,,,,,358,9742.0,2782.0,1328.0,6.016483516483516,1
,,,,,,,,359,8736.0,2495.0,1191.0,6.016483516483516,1
,,,,,,,,360,7797.0,2227.0,1063.0,6.016483516483516,1
,,,,,,,,361,7146.0,2041.0,974.0,6.016483516483516,1
,,,,,,,,362,6771.0,1933.0,923.0,6.016483516483516,1
,,,,,,,,363,6542.0,1868.0,892.0,6.016483516483516,1
,,,,,,,,364,6446.0,1841.0,878.0,6.016483516483516,1
,,,,,,,,365,6587.0,1881.0,898.0,6.016483516483516,1
,,,,,,,,366,7134.0,2038.0,973.0,6.016483516483516,1
,,,,,,,,367,7988.0,2281.0,1089.0,6.016483516483516,1
,,,,,,,,368,8934.0,2552.0,1218.0,6.016483516483516,1
,,,,,,,,369,9489.0,2710.0,1293.0,6.016483516483516,1
,,,,,,,,370,9825.0,2806.0,1339.0,6.016483516483516,1
,,,,,,,,371,10073.0,2877.0,1373.0,6.016483516483516,1
,,,,,,,,372,10198.0,2913.0,1390.0,6.016483516483516,1
,,,,,,,,373,10251.0,2928.0,1398.0,6.016483516483516,1
,,,,,,,,374,10355.0,2957.0,1412.0,6.016483516483516,1
,,,,,,,,375,10366.0,2960.0,1414.0,6.016483516483516,1
